=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwF8A0dwAYUfGzKFc4IAPWODAOgFZV0sAmI-AZmawBZ2VruA2bgHZuADm4BObghx4sCQrIJNFCNiq5oIAd3IM6+BL03gy8KrRUCVwgLooAUMHAJszFwuIny5vDvgIafRdldBc1UJQNCKMIqwjhPBcxRJRJFOk3Ag9nJUzVPKjtcgCLCMMiUm9A9LichFsHJwZXPGaPSrMaX2LKQVLwZpCBlHDhqOGY4drmhPRm5LnU5jaZRfll3NaCcKL4BkoGfrauO0dwFhb0C-avTupuvYP+i6GL8YvJi9qL2fOUBb+aSuBFWf3WeGur22FXAfjg+z6+muhVuFGqwIQAlOTg4l3AuJupjR93QcICh30uJCu0QT0pIxhZLpeFxKLhfGZ6FxCxp5P6BOpsJ6FJZ0OMTJFXIIKKJVERovKCtqBNsNiAA
13:32:48: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:48: [INFO] Matrix size: 4x17
13:32:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:48: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:49: [INFO] Add COL0 net
13:32:49: [INFO] Add COL1 net
13:32:49: [INFO] Add COL10 net
13:32:49: [INFO] Add COL11 net
13:32:49: [INFO] Add COL12 net
13:32:49: [INFO] Add COL13 net
13:32:49: [INFO] Add COL14 net
13:32:49: [INFO] Add COL15 net
13:32:49: [INFO] Add COL16 net
13:32:49: [INFO] Add COL17 net
13:32:49: [INFO] Add COL2 net
13:32:49: [INFO] Add COL3 net
13:32:49: [INFO] Add COL4 net
13:32:49: [INFO] Add COL5 net
13:32:49: [INFO] Add COL6 net
13:32:49: [INFO] Add COL7 net
13:32:49: [INFO] Add COL8 net
13:32:49: [INFO] Add COL9 net
13:32:49: [INFO] Add Net-(D1-A) net
13:32:49: [INFO] Add Net-(D10-A) net
13:32:49: [INFO] Add Net-(D11-A) net
13:32:49: [INFO] Add Net-(D12-A) net
13:32:49: [INFO] Add Net-(D13-A) net
13:32:49: [INFO] Add Net-(D14-A) net
13:32:49: [INFO] Add Net-(D15-A) net
13:32:49: [INFO] Add Net-(D16-A) net
13:32:49: [INFO] Add Net-(D17-A) net
13:32:49: [INFO] Add Net-(D18-A) net
13:32:49: [INFO] Add Net-(D19-A) net
13:32:49: [INFO] Add Net-(D2-A) net
13:32:49: [INFO] Add Net-(D20-A) net
13:32:49: [INFO] Add Net-(D21-A) net
13:32:49: [INFO] Add Net-(D22-A) net
13:32:49: [INFO] Add Net-(D23-A) net
13:32:49: [INFO] Add Net-(D24-A) net
13:32:49: [INFO] Add Net-(D25-A) net
13:32:49: [INFO] Add Net-(D26-A) net
13:32:49: [INFO] Add Net-(D27-A) net
13:32:49: [INFO] Add Net-(D28-A) net
13:32:49: [INFO] Add Net-(D29-A) net
13:32:49: [INFO] Add Net-(D3-A) net
13:32:49: [INFO] Add Net-(D30-A) net
13:32:49: [INFO] Add Net-(D31-A) net
13:32:49: [INFO] Add Net-(D32-A) net
13:32:49: [INFO] Add Net-(D33-A) net
13:32:49: [INFO] Add Net-(D34-A) net
13:32:49: [INFO] Add Net-(D35-A) net
13:32:49: [INFO] Add Net-(D36-A) net
13:32:49: [INFO] Add Net-(D37-A) net
13:32:49: [INFO] Add Net-(D38-A) net
13:32:49: [INFO] Add Net-(D39-A) net
13:32:49: [INFO] Add Net-(D4-A) net
13:32:49: [INFO] Add Net-(D40-A) net
13:32:49: [INFO] Add Net-(D41-A) net
13:32:49: [INFO] Add Net-(D42-A) net
13:32:49: [INFO] Add Net-(D43-A) net
13:32:49: [INFO] Add Net-(D44-A) net
13:32:49: [INFO] Add Net-(D45-A) net
13:32:49: [INFO] Add Net-(D46-A) net
13:32:49: [INFO] Add Net-(D47-A) net
13:32:49: [INFO] Add Net-(D48-A) net
13:32:49: [INFO] Add Net-(D49-A) net
13:32:49: [INFO] Add Net-(D5-A) net
13:32:49: [INFO] Add Net-(D50-A) net
13:32:49: [INFO] Add Net-(D51-A) net
13:32:49: [INFO] Add Net-(D52-A) net
13:32:49: [INFO] Add Net-(D53-A) net
13:32:49: [INFO] Add Net-(D54-A) net
13:32:49: [INFO] Add Net-(D55-A) net
13:32:49: [INFO] Add Net-(D56-A) net
13:32:49: [INFO] Add Net-(D57-A) net
13:32:49: [INFO] Add Net-(D58-A) net
13:32:49: [INFO] Add Net-(D59-A) net
13:32:49: [INFO] Add Net-(D6-A) net
13:32:49: [INFO] Add Net-(D60-A) net
13:32:49: [INFO] Add Net-(D61-A) net
13:32:49: [INFO] Add Net-(D62-A) net
13:32:49: [INFO] Add Net-(D63-A) net
13:32:49: [INFO] Add Net-(D64-A) net
13:32:49: [INFO] Add Net-(D65-A) net
13:32:49: [INFO] Add Net-(D66-A) net
13:32:49: [INFO] Add Net-(D67-A) net
13:32:49: [INFO] Add Net-(D68-A) net
13:32:49: [INFO] Add Net-(D69-A) net
13:32:49: [INFO] Add Net-(D7-A) net
